Exported RQ Study Sample Summary and Well Information,,

Document Name: U7_study_06072012 ,,
Plate Type: ddCt Study,,
User: wittigm,,

Document Information,,

Operator: wittigm,,
Last Modified: Friday, July 06, 2012 11:54:03
Instrument Type: Applied Biosystems 7300 Real-Time PCR System,,

Comments:,,
SDS v1.4,,

Thermal Cycler Profile,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 �C,2:00,100,
2,1,95.0 �C,10:00,100,
3,40,95.0 �C,0:15,100,
,,60.0 �C,1:00,100,
2700 Mode,,,,,
Data Collection :  Stage 3 Step 2,,,,,
PCR Volume: 20 �L,,,,,

Calibrator, +,,,,

Endogenous Control, betaActin,,,,

RQ Min/Max Calculation Type,Advanced,,,,
Confidence,95.00%,,,,

Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct Std Err,Avg Ct,Avg dCt,dCt Std Err,ddCt,RQ,RQ Min,RQ Max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End

U7_U9_05072012,1,A1,D39 MOI 10,DEFB3,Target,30.839,0.113,31.056,,,,,,,,,0.593271,Auto,Auto,5,24
U7_U9_05072012,2,A2,D39 MOI 10,DEFB3,Target,31.222,0.113,31.056,,,,,,,,,0.593271,Auto,Auto,5,24
U7_U9_05072012,3,A3,D39 MOI 10,DEFB3,Target,31.107,0.113,31.056,,,,,,,,,0.593271,Auto,Auto,5,24
U7_U9_05072012,4,A4,D39 MOI 100,DEFB3,Target,29.103,0.039,29.058,,,,,,,,,0.593271,Auto,Auto,5,21
U7_U9_05072012,5,A5,D39 MOI 100,DEFB3,Target,29.091,0.039,29.058,,,,,,,,,0.593271,Auto,Auto,5,21
U7_U9_05072012,6,A6,D39 MOI 100,DEFB3,Target,28.981,0.039,29.058,,,,,,,,,0.593271,Auto,Auto,5,22
U7_U9_05072012,7,A7,dPLY MOI 10,DEFB3,Target,31.538,0.133,31.764,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,8,A8,dPLY MOI 10,DEFB3,Target,32,0.133,31.764,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,9,A9,dPLY MOI 10,DEFB3,Target,31.754,0.133,31.764,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,10,A10,dPLY MOI 100,DEFB3,Target,32.685,0.042,32.768,,,,,,,,,0.593271,Auto,Auto,5,26
U7_U9_05072012,11,A11,dPLY MOI 100,DEFB3,Target,32.818,0.042,32.768,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,12,A12,dPLY MOI 100,DEFB3,Target,32.802,0.042,32.768,,,,,,,,,0.593271,Auto,Auto,5,26
U7_U9_05072012,13,B1,dCPS MOI 10,DEFB3,Target,28.921,0.029,28.962,,,,,,,,,0.593271,Auto,Auto,5,22
U7_U9_05072012,14,B2,dCPS MOI 10,DEFB3,Target,28.948,0.029,28.962,,,,,,,,,0.593271,Auto,Auto,5,22
U7_U9_05072012,15,B3,dCPS MOI 10,DEFB3,Target,29.017,0.029,28.962,,,,,,,,,0.593271,Auto,Auto,5,22
U7_U9_05072012,16,B4,dCPS MOI 100,DEFB3,Target,27.645,0.008,27.66,,,,,,,,,0.593271,Auto,Auto,5,20
U7_U9_05072012,17,B5,dCPS MOI 100,DEFB3,Target,27.666,0.008,27.66,,,,,,,,,0.593271,Auto,Auto,5,20
U7_U9_05072012,18,B6,dCPS MOI 100,DEFB3,Target,27.669,0.008,27.66,,,,,,,,,0.593271,Auto,Auto,5,20
U7_U9_05072012,19,B7,dd MOI 10,DEFB3,Target,31.459,0.03,31.4,,,,,,,,,0.593271,Auto,Auto,5,24
U7_U9_05072012,20,B8,dd MOI 10,DEFB3,Target,31.368,0.03,31.4,,,,,,,,,0.593271,Auto,Auto,5,24
U7_U9_05072012,21,B9,dd MOI 10,DEFB3,Target,31.374,0.03,31.4,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,22,B10,dd MOI 100,DEFB3,Target,27.906,0.05,28.003,,,,,,,,,0.593271,Auto,Auto,5,21
U7_U9_05072012,23,B11,dd MOI 100,DEFB3,Target,28.03,0.05,28.003,,,,,,,,,0.593271,Auto,Auto,5,21
U7_U9_05072012,24,B12,dd MOI 100,DEFB3,Target,28.072,0.05,28.003,,,,,,,,,0.593271,Auto,Auto,5,21
U7_U9_05072012,25,C1,+,DEFB3,Target,32.449,0.064,32.537,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,26,C2,+,DEFB3,Target,32.501,0.064,32.537,,,,,,,,,0.593271,Auto,Auto,5,25
U7_U9_05072012,27,C3,+,DEFB3,Target,32.661,0.064,32.537,,,,,,,,,0.593271,Auto,Auto,5,26
U7_U9_05072012,28,C4,Mock,DEFB3,Target,33.315,0.111,33.238,,,,,,,,,0.593271,Auto,Auto,5,27
U7_U9_05072012,29,C5,Mock,DEFB3,Target,33.38,0.111,33.238,,,,,,,,,0.593271,Auto,Auto,5,26
U7_U9_05072012,30,C6,Mock,DEFB3,Target,33.019,0.111,33.238,,,,,,,,,0.593271,Auto,Auto,5,26
U7_05072012,1,A1,D39 MOI 10,betaActin,ENDO,18.725,0.059,18.811,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,2,A2,D39 MOI 10,betaActin,ENDO,18.782,0.059,18.811,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,3,A3,D39 MOI 10,betaActin,ENDO,18.925,0.059,18.811,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,4,A4,D39 MOI 100,betaActin,ENDO,19.499,0.083,19.637,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,5,A5,D39 MOI 100,betaActin,ENDO,19.786,0.083,19.637,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,6,A6,D39 MOI 100,betaActin,ENDO,19.627,0.083,19.637,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,7,A7,dPLY MOI 10,betaActin,ENDO,18.056,0.035,18.09,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,8,A8,dPLY MOI 10,betaActin,ENDO,18.159,0.035,18.09,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,9,A9,dPLY MOI 10,betaActin,ENDO,18.054,0.035,18.09,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,10,A10,dPLY MOI 100,betaActin,ENDO,18.613,0.004,18.616,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,11,A11,dPLY MOI 100,betaActin,ENDO,18.62,0.004,18.616,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,12,A12,dPLY MOI 100,betaActin,ENDO,Undet.,,18.616,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,13,B1,dCPS MOI 10,betaActin,ENDO,19.635,0.041,19.705,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,14,B2,dCPS MOI 10,betaActin,ENDO,19.703,0.041,19.705,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,15,B3,dCPS MOI 10,betaActin,ENDO,19.776,0.041,19.705,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,16,B4,dCPS MOI 100,betaActin,ENDO,23.148,0.009,23.135,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,17,B5,dCPS MOI 100,betaActin,ENDO,23.139,0.009,23.135,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,18,B6,dCPS MOI 100,betaActin,ENDO,23.118,0.009,23.135,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,19,B7,dd MOI 10,betaActin,ENDO,18.168,0.045,18.08,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,20,B8,dd MOI 10,betaActin,ENDO,18.054,0.045,18.08,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,21,B9,dd MOI 10,betaActin,ENDO,18.017,0.045,18.08,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,22,B10,dd MOI 100,betaActin,ENDO,21.087,0.083,21.253,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,23,B11,dd MOI 100,betaActin,ENDO,21.324,0.083,21.253,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,24,B12,dd MOI 100,betaActin,ENDO,21.347,0.083,21.253,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,25,C1,+,betaActin,ENDO,18.127,0.12,18.009,,,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,26,C2,+,betaActin,ENDO,18.132,0.12,18.009,,,,,,,,,0.593271,Auto,Auto,5,22
